Restoran_Adi,Yorum,Restoran_Link
Abi Kardeş Pide Lahmacun (Mecidiyeköy),Pide inanılmaz kötüydü hem soğuk hem içinden sert bişey çıktı kemikti heralde bidaha söylemem,https://tgoyemek.com/restoranlar/337414
Abi Kardeş Pide Lahmacun (Mecidiyeköy),"Hiç Lezzet alamadım, kavurmada yok gibi bişeydi",https://tgoyemek.com/restoranlar/337414
Abi Kardeş Pide Lahmacun (Mecidiyeköy),"6 lahmacun sipariş verdim, 1 lahmacuna yetecek kadar salatayla teslim edildi. Lahmacun su gibiydi. Kartonda bile dağılıyordu.",https://tgoyemek.com/restoranlar/337414
Abi Kardeş Pide Lahmacun (Mecidiyeköy),teslim edildi isaretlenip teslim edilmedi,https://tgoyemek.com/restoranlar/337414
Abi Kardeş Pide Lahmacun (Mecidiyeköy),ellerine sağlık süper olmuş usta,https://tgoyemek.com/restoranlar/337414
Abi Kardeş Pide Lahmacun (Mecidiyeköy),umarım böyle siparişleri 30 dk gösterip 1 saat 30 dk da göndermeye devam edersiniz teşekkürler,https://tgoyemek.com/restoranlar/337414
Abi Kardeş Pide Lahmacun (Mecidiyeköy),"Siparişim teslim edildi yazıyor ama gelmedi, neredeyse 1,5 saat oldu !!! bir çok kişi aynı yorumu yazmış zaten … gelen şey tam olarak buz gibi paçavra olan bir şey yazık ya",https://tgoyemek.com/restoranlar/337414
Abi Kardeş Pide Lahmacun (Mecidiyeköy),Teslimatta sıkıntı yoktu ama pideyi yiyemedim bile çok fazla tuzluydu ama sıcaktı,https://tgoyemek.com/restoranlar/337414
Şah Antep Pide & Lahmacun (Çeliktepe),Arkadaşlar hayatımda en yavaş gelen sipariş diyebilirim lezzet yok soğuk buz gibi 3 saat e teslim ha geldi ha gelicek diye diye geciktirdiler sipariş eden pişman olur,https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),hayatımda yediğim en kötü lahmacun,https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),Bin pişman olduğum bi sipariş oldu saatlerce kitlendiniz ve asla doğru bilgi vermediniz ne lezzeti vardı ne kalitesi ve saatlerimi yediniz!,https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),"sipariş verdikten sonra 2 saat ürünün gelmesini bekledim, restoranı arıyorum cevapta vermiyor, yoğunluk olabilir bunu anlarım da telefonu açmamak nedir?",https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),pide ve lahmacunun iç malzemesi az koymuşlar ayrıca pidenin hamuru çok kalındı,https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),ürün içeriği zayıftı ekmek yedik gibi oldu. pide hamuru çok kalındı,https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),"Hayatımda bu kadar kötü lahmacun ve teslimat görmedim. Lezzet kötü, hız kötü. Artık geleceğinden bile umudum kesilmişti. Teslim edildi gösterip dakikalarca bekledim daha",https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),Ürünler çok sğuktu. Asla burdan yemek aöylenmez. İlgisiz restorant,https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),30-40 dk olan siparişim 1.30 saatte geldi. Soğumuştu. Teslim edilmeden teslim edildi olarak işaretlendi. Servis de yetersiz peçete bile yok.,https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),Sipariş o kadar hızlıydı ki lahmacunlar sıcacık geldi teşekkür ederim🙏,https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),çiğ köfte siparişimin arasında gelmedi ödenmesi alındığı halde,https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),Vermiş olduğum sipariş elime ulaşmadı ama teslim edildi yazıyor anliyamadım siparişimi başka bir yeremi verildi,https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),"Lezzeti harikaydı, tek bir lokmasını bile boşa harcamadım. Her şey tam istediğim gibiydi. 😋",https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),Bir siparişte hem bu kadar hızlı teslimat hem de bu kadar kaliteli tat bulmak zor. Gerçekten memnun kaldım.,https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),"Sıcacık geldi, çok güzel paketlenmişti. Lezzeti de harikaydı, ellerinize sağlık.",https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),Sunumdan sıcaklığa kadar her şey düşünülmüş. Bu hizmeti aldığım için çok mutluyum. 😊,https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),"Et kalitesi, pişirme süresi ve kullanılan malzemeler gerçekten çok iyiydi. Her şey özenli hazırlanmıştı.",https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),Lezzeti damağımda kaldı. Uzun zamandır bu kadar başarılı bir sipariş deneyimi yaşamamıştım.,https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),Servis şekli oldukça şıktı. Yemeği açtığımda kokusu bile yeterliydi. Gerçekten çok başarılı bir iş çıkarmışsınız.,https://tgoyemek.com/restoranlar/362072
Şah Antep Pide & Lahmacun (Çeliktepe),"Ne eksik ne fazla, tam kararında hazırlanmıştı. Baharatlar çok güzel harmanlanmıştı.",https://tgoyemek.com/restoranlar/362072
Çevre Pastanesi (Mecidiyeköy),Daha önceki siparislerime nazaran daha çok kremalı frambuazlı olmasına rağmen tatsız bir pasta geldi beklentimi hiç karşılamadı.,https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),"pasta komple dağılmış geldi, süpriz yapmak için almıştım. paketi açmamla benimde dağılmam bir oldu. böyle olmamalıydı, gerçekten çok üzüldüm.",https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),"Vanilya/Çilekli pasta siparişi vermeme rağmen, çikolatalı bambaşka bir pasta gitmiş kızıma. Doğum günü pastasıydı..",https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),Pasta çok tazeydi. Çok beğendik,https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),Bu çikolatalı pasta degil. Çikolata kaplı pasta,https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),Pasta özenli bir şekilde teslim edildi. Not çok güzel yazılmıştı üstüne. Lezzetliydi. Biraz boyutu küçüktü sadece. Teşekkürler.,https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),gelmesinin 2 saat sürmesi haricinde herşey güzel,https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),Tadı güzeldi de sadece benim bildiğim dört kişilik pasta biraz daha boyut olarak farklı oluyor gelince bir şaşkınlığa uğradım yalan yok,https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),"iş yerinde arkadaşların verdiği siparişi görüp, sipariş veriyorum ve not olarak talep ettiğim ürünü yazıyorum. nezaketen bir tane gonderilmez mi? hiç hoş değil",https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),Ürün görseldekiyle bir değildi 3-4 kişilik pastaları çok küçüktü ayrıca bunun için aradığımda iletişimlerinide yanlış buldum.,https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),"Kazandibi iyiydi, hediyesi için de teşekkür ederim",https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),Bu kadar bayat pastayı nasıl gönderebıldınız aklım almıyor,https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),"Doğum günü kişisinin ismi Uygar, yazılan Uğur. :) Önemsiz bir detay belki ama vurgulanan tek yer isimken hoş olmadı. biraz daha dikkat. pasta güzeldi.",https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),Çok beğendim. Notumu dikkate aldığınız için teşekkür ederim.,https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),"15 tane mini pizza geldi, harikaydı yumuşacık ve taptazeydi ofiste 2 sabah kalhvaltıda yedik herkes çok beğendi çevre pastanesinden tatlılar ve mini pizzalar açısından son derece memnunuz",https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),Dondurma ve marki söylemiştim markiler o kadar bayatlamış ki yiyemedim çöpe attım dondurma güzeldi ama Bidaha burdan alışveriş yapmıycam,https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),"Hayatımda yediğim en kötü pasta olabilir, harcadığım paraya o kadar üzüldüm ki",https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),İçerisinde sadece pastacı kreması var şaka gibi,https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),"Tatlı harikaydı malzemeleri aşırı tazeydi bayılarak yedik çok memnun kaldım artık tatlı siparişlerimi hep buradan yapacağım, paketleme de güzeldi teslimat beklediğimden çok daha hızlı geldi",https://tgoyemek.com/restoranlar/2434
Çevre Pastanesi (Mecidiyeköy),Fıstıklı çikolatalı pasta çok güzeldi ellerinize sağlık minicik pastaya 800 lira ödüyoruz her güzel şeyin bedeli var çikolatası içi güzeldi,https://tgoyemek.com/restoranlar/2434
Mado (Maslak),frambuazlı görseldeki pastanın aynısı gelmedi misafirimi küçük bir sürpriz yapmak istediğim için resim çekip yanlış olduğunu size kanıtlayamıyorum ben birazcık tadına baktığımda taze de değildi görüntü olarak da alakası yoktu,https://tgoyemek.com/restoranlar/313667
Mado (Maslak),"Siparişteki dondurmalar yanlış gönderildi, destek birimi dondurma yanlış gönderildiği için ücretini iade edeceğini belirtti ancak yan ürün olarak aldığım külahlar da yanlışlık olmadığı iadesini yapamıyorlarmış. Ayrıca dondurmalar buz desteği olmadan gönderilmiştir.",https://tgoyemek.com/restoranlar/313667
Mado (Maslak),cok naziksiniz tesekkur ederim,https://tgoyemek.com/restoranlar/313667
Mado (Maslak),güvenliğe bıraktı gidip kendimiz aldik,https://tgoyemek.com/restoranlar/313667
Mado (Maslak),"Hayal kırıklığı yaşadım. Böreği arefe günü aldım, bayramda yenmesi için. Ertesi gün ekşimişti.",https://tgoyemek.com/restoranlar/313667
Mado (Maslak),Kuru baklava bayat çok kötü ..,https://tgoyemek.com/restoranlar/313667
Mado (Maslak),Hamur katları biraz kalındı ama lezzetsiz değildi,https://tgoyemek.com/restoranlar/313667
Mado (Maslak),hepsi çok lezzetli,https://tgoyemek.com/restoranlar/313667
