Restoran_Adi,Yorum,Restoran_Link
Hot Döner (Ayazağa),tavuk tavuk,https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),Adamsın abi kıyağını yapmışsın yine,https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),"arkadaşlar çok yardımcı oluyorlar helal olsun, tekrar ellerinize sağlık.",https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),Kurye getirme vizyonu taşımıyor restoran kuryesinden sipariş vermeyin 15. Dakikada çıkan ürün 45. Dakikada hala teslim edilmedi,https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),sos yok bişey yok berbattı,https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),"bu maxi dürüm doyurdu , lezzet de güzeldi",https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),her sey çok kötü,https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),siparişimi 17.15 te verdim elime 18.48 te ulaştı 2 saatte geldi buz gibi olmuş gerçekten bu gibi,https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),Çok hızlı ve eksiksiz teşekkürler,https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),kaçıncı siparişim bilmiyorum ama her zaman sıcak ve güzel istediğim gibi geliyor . elinize sağlık,https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),Tatlı istedim kaşık yok ama sıkıntı yok idare eder,https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),Hayatımda yediğim en kötü iskenderdi,https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),"5 liraya bir sürü turşu ekliyorlar bu çok güzel, patatesler fena değil, döner lezzetli",https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),aşşırı lezzetliydi,https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),1.30 saatte teslim edilen soğuk bir dürüm,https://tgoyemek.com/restoranlar/356982
Hot Döner (Ayazağa),"açıkçası yarısından fazlası lavaştı, lezzeti hiç memnun etmedi beni. 100 gr tavuk(?) yemek için 500 gr patates lavaş yiyorsunuz, ben hoşlanmadım.",https://tgoyemek.com/restoranlar/356982
Yanda Pilav (Fatih Sultan Mehmet),İlk defa bir pilav siparişini bitirmeden bıraktım. Çok kötüydü,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),"Fasulye pilav soyledim, fasulye pişmemiş ve sarimsakliydi, ayrica salçası ayrıca konmuş gibi yemekle alakasi yoktu. Pilav da lapa gibi kırık pirinçten yapılmıştı. Yiyemeden çöpü boyladı üzgünüm",https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),"usta ekstra kruton, soğan ve yoğurt söyledim yine 2 alttaki yorum da benim. geçen sefer 3 üde gelmemişti bu sefer sadece soğan gelmiş yoğurt ve kruton yine yok.. notlara yazmama rağmen... elinize sağlık da şu ekstraları unutmayın lütfen eksik kalıyor yemek",https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),kuru fasulyeye sarımsak mı koydunuz tadı çok değişikti. mercimek çorbası kaskatı 1 hafta su katıp katıp içicem teşekkür ederim. yanındaki 1 damlalık limon tüm ailemize yetti sağ olun. irmik helvası bulgur pilavına dönmüş o kadar şekersizdi ki sağlığımı düşünmenize sevindim. ellerinize sağlık.,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),"soğan kruton yoğurt gönderilmemiş, nota bol ekmek yazdım çeyrek ekmek bile gelmemiş",https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),Ekstradan tavuk istedim 140 gr olsun diye ama içinde 100 gr bile tavuk yoktu. Muhtemelen bulyon veya margarin vardı. Sipariş notu dikkate alınmadı.,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),Notumu özellikle dikkate alıp ona göre paketleme yaptığınız için çok teşekkür ederim:) İkram ve tatlı notunuz için de ayrıca teşekkürler🙏🏻,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),fiyat performans,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),güzeldi beğendim,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),çorba yerine cacık geldi şaka gibi birde ne bi yazı eksik olduğuna dair yada bir haber var şaka gibi bir durum.,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),ayran çorbasında yağ ilk kez görüyorum. çorbanın üzeri kırmızı yağ ile kaplıydı garip. acaba başka yağlı yemeğin kapağını mı kapattılar dalgınlıkla dedik ama o daha da garip,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),bidaha asla,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),Limonun küflü gelmesi dışında bir sorun yoktu. Yemekler lezzetliydi ama limon gözden kaçmış muhtemelen. Biraz dikkat 😊,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),Çok güzel bi domates çorbasıydı,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),Çok kötü bir koku vardı sanırım sostan oya klasik bir nohut pilav yemek istemiştim baharatlı olmasını sevmeyenler düşünmesin,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),Her zaman sipariş verdiğim yer. Ama bu sefer yemekler soğuktu ve kaşık çatal peçete konulmamış. Demek ki devamlı söyleyince kalite düşüyor.,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),Herşey makul lezzetli ama kızarmış falafeli buzluktan çıkarıp o soğuklukta göndermişsiniz.,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),"İrmik helvasını şu dakika satmayı bırakın ya da herhangi bir yerden bir irmik helvası yiyin. İki tane söyledik bir de, buz gibi geldi, tadı bir garipti, bayat, dağılmış, servis bile gelmemiş. Direkt çöpe atmak zorunda kaldık. İçli köfteler zaten fındık kadar. Bunu müşteriye layık görmüş, göndermişsiniz.",https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),yanında sipariş ettiğimiz ürün elinizde yoksa ya bi arayın bir şey diyin ya da iptal edin direkt. yanında yoğurt olsun diye sipariş ettim böyle öteki ürünün tadı da kötü oldu. ilgisiz olmayın bu kadar arayıp söylemek zor değil.,https://tgoyemek.com/restoranlar/177118
Yanda Pilav (Fatih Sultan Mehmet),Pilav istediğim pilav gelmedi şehriyeli istemdim öyle geldi ve tavuğun tatı hiç güzel değildi teşekkür ederim,https://tgoyemek.com/restoranlar/177118
Oba Döner (Seyrantepe),Eti azdı onun dışında fena değildi,https://tgoyemek.com/restoranlar/363059
Oba Döner (Seyrantepe),Çok lezzetliydi teşekkürler 🌸,https://tgoyemek.com/restoranlar/363059
